model,quant,input_tokens,instance,best_batch,sent_per_sec,input_tok_per_sec,usd_per_1M_sentences,usd_per_1M_input_tokens
embeddinggemma-300m,fp32,32,c7g.8xlarge,64,144.3,4618.0,2.233,0.06978
embeddinggemma-300m,fp32,32,c8g.8xlarge,64,170.8,5466.0,2.0754,0.06486
embeddinggemma-300m,fp32,128,c7g.8xlarge,64,36.7,4698.0,8.7799,0.06859
embeddinggemma-300m,fp32,128,c8g.8xlarge,64,44.6,5709.0,7.9478,0.06209
embeddinggemma-300m,fp32,512,c7g.8xlarge,32,8.1,4147.0,39.7805,0.0777
embeddinggemma-300m,fp32,512,c8g.8xlarge,32,10.0,5120.0,35.4472,0.06923
embeddinggemma-300m,int8,32,c7g.8xlarge,64,120.7,3862.0,2.6696,0.08343
embeddinggemma-300m,int8,32,c8g.8xlarge,64,144.7,4630.0,2.4497,0.07655
embeddinggemma-300m,int8,128,c7g.8xlarge,64,35.6,4557.0,9.0512,0.07071
embeddinggemma-300m,int8,128,c8g.8xlarge,64,42.5,5440.0,8.3405,0.06516
embeddinggemma-300m,int8,512,c7g.8xlarge,32,8.2,4198.0,39.2954,0.07675
embeddinggemma-300m,int8,512,c8g.8xlarge,32,9.9,5069.0,35.8053,0.06993
me5-small,fp32,32,c7g.8xlarge,64,542.9,17373.0,0.5935,0.01855
me5-small,fp32,32,c8g.8xlarge,64,627.2,20070.0,0.5652,0.01766
me5-small,fp32,128,c7g.8xlarge,64,170.0,21760.0,1.8954,0.01481
me5-small,fp32,128,c8g.8xlarge,64,202.6,25933.0,1.7496,0.01367
me5-small,fp32,512,c7g.8xlarge,32,36.1,18483.0,8.9258,0.01743
me5-small,fp32,512,c8g.8xlarge,32,42.9,21965.0,8.2628,0.01614
ruri-v3-130m,fp32,32,c7g.8xlarge,64,175.6,5619.0,1.835,0.05734
ruri-v3-130m,fp32,32,c8g.8xlarge,64,214.0,6848.0,1.6564,0.05176
ruri-v3-130m,fp32,128,c7g.8xlarge,64,47.2,6042.0,6.8267,0.05333
ruri-v3-130m,fp32,128,c8g.8xlarge,64,58.9,7539.0,6.0182,0.04702
ruri-v3-130m,fp32,512,c7g.8xlarge,8,10.8,5530.0,29.8354,0.05827
ruri-v3-130m,fp32,512,c8g.8xlarge,32,13.6,6963.0,26.0641,0.05091
ruri-v3-130m,int8,32,c7g.8xlarge,64,399.3,12778.0,0.807,0.02522
ruri-v3-130m,int8,32,c8g.8xlarge,64,437.5,14000.0,0.8102,0.02532
ruri-v3-130m,int8,128,c7g.8xlarge,64,117.4,15027.0,2.7447,0.02144
ruri-v3-130m,int8,128,c8g.8xlarge,64,134.5,17216.0,2.6355,0.02059
ruri-v3-130m,int8,512,c7g.8xlarge,32,24.1,12339.0,13.3702,0.02611
ruri-v3-130m,int8,512,c8g.8xlarge,64,29.0,14848.0,12.2232,0.02387
ruri-v3-30m,fp32,32,c7g.8xlarge,64,732.6,23443.0,0.4398,0.01374
ruri-v3-30m,fp32,32,c8g.8xlarge,64,845.6,27059.0,0.4192,0.0131
ruri-v3-30m,fp32,128,c7g.8xlarge,64,251.6,32205.0,1.2807,0.01001
ruri-v3-30m,fp32,128,c8g.8xlarge,64,299.5,38336.0,1.1835,0.00925
ruri-v3-30m,fp32,512,c7g.8xlarge,64,58.0,29696.0,5.5556,0.01085
ruri-v3-30m,fp32,512,c8g.8xlarge,64,70.0,35840.0,5.0639,0.00989
ruri-v3-30m,int8,32,c7g.8xlarge,64,1034.7,33110.0,0.3114,0.00973
ruri-v3-30m,int8,32,c8g.8xlarge,64,1077.6,34483.0,0.3289,0.01028
ruri-v3-30m,int8,128,c7g.8xlarge,64,423.9,54259.0,0.7601,0.00594
ruri-v3-30m,int8,128,c8g.8xlarge,64,462.6,59213.0,0.7663,0.00599
ruri-v3-30m,int8,512,c7g.8xlarge,64,93.5,47872.0,3.4462,0.00673
ruri-v3-30m,int8,512,c8g.8xlarge,64,105.2,53862.0,3.3695,0.00658
ruri-v3-310m,fp32,32,c7g.8xlarge,64,67.9,2173.0,4.7455,0.1483
ruri-v3-310m,fp32,32,c8g.8xlarge,64,84.8,2714.0,4.1801,0.13063
ruri-v3-310m,fp32,128,c7g.8xlarge,64,17.6,2253.0,18.3081,0.14303
ruri-v3-310m,fp32,128,c8g.8xlarge,64,22.6,2893.0,15.6846,0.12254
ruri-v3-310m,fp32,512,c7g.8xlarge,8,4.1,2099.0,78.5908,0.1535
ruri-v3-310m,fp32,512,c8g.8xlarge,32,5.3,2714.0,66.8816,0.13063
ruri-v3-310m,int8,32,c7g.8xlarge,64,203.5,6512.0,1.5834,0.04948
ruri-v3-310m,int8,32,c8g.8xlarge,64,231.0,7392.0,1.5345,0.04795
ruri-v3-310m,int8,128,c7g.8xlarge,64,55.1,7053.0,5.848,0.04569
ruri-v3-310m,int8,128,c8g.8xlarge,64,65.3,8358.0,5.4284,0.04241
ruri-v3-310m,int8,512,c7g.8xlarge,32,11.3,5786.0,28.5152,0.05569
ruri-v3-310m,int8,512,c8g.8xlarge,32,13.8,7066.0,25.6864,0.05017
ruri-v3-70m,fp32,32,c7g.8xlarge,64,383.7,12278.0,0.8398,0.02624
ruri-v3-70m,fp32,32,c8g.8xlarge,64,452.0,14464.0,0.7842,0.02451
ruri-v3-70m,fp32,128,c7g.8xlarge,64,111.3,14246.0,2.8951,0.02262
ruri-v3-70m,fp32,128,c8g.8xlarge,64,134.7,17242.0,2.6316,0.02056
ruri-v3-70m,fp32,512,c7g.8xlarge,32,25.1,12851.0,12.8375,0.02507
ruri-v3-70m,fp32,512,c8g.8xlarge,32,30.9,15821.0,11.4716,0.02241
ruri-v3-70m,int8,32,c7g.8xlarge,64,698.4,22349.0,0.4614,0.01442
ruri-v3-70m,int8,32,c8g.8xlarge,64,755.4,24173.0,0.4693,0.01466
ruri-v3-70m,int8,128,c7g.8xlarge,64,236.7,30298.0,1.3613,0.01064
ruri-v3-70m,int8,128,c8g.8xlarge,64,269.8,34534.0,1.3138,0.01026
ruri-v3-70m,int8,512,c7g.8xlarge,64,48.8,24986.0,6.6029,0.0129
ruri-v3-70m,int8,512,c8g.8xlarge,64,57.0,29184.0,6.2188,0.01215
