model,input_tokens,output_tokens,total_tok_per_s,req_per_s,usd_per_1M_total_tokens_at_1.861usd_hr
gptoss20b,256,128,18872.0,16.38,0.0274
gptoss20b,256,512,18750.0,16.28,0.0276
gptoss20b,1024,128,18594.0,16.14,0.0278
gptoss20b,1024,512,18832.0,16.35,0.0275
gptoss20b,4096,128,18513.0,16.07,0.0279
gptoss20b,4096,512,18766.0,16.29,0.0275
qwen3-14b,256,128,3999.0,3.47,0.1293
qwen3-14b,256,512,3989.0,3.46,0.1296
qwen3-14b,1024,128,3950.0,3.43,0.1309
qwen3-14b,1024,512,4013.0,3.48,0.1288
qwen3-14b,4096,128,4072.0,3.54,0.1269
qwen3-14b,4096,512,4045.0,3.51,0.1278
qwen3-30b-a3b,256,128,9662.0,8.39,0.0535
qwen3-30b-a3b,256,512,9644.0,8.37,0.0536
qwen3-30b-a3b,1024,128,9679.0,8.4,0.0534
qwen3-30b-a3b,1024,512,9692.0,8.41,0.0533
qwen3-30b-a3b,4096,128,9676.0,8.4,0.0534
qwen3-30b-a3b,4096,512,9714.0,8.43,0.0532
